Index,Li Content,Href Value,Prices
1,"8471 Village Dr, Florence, KY 41042	PIVOT REALTY GROUP	$285,000	5	 	bds	4	 	ba	3,280	 	sqft	 	- House for sale	Price cut:	 	$14,900 (Oct 26)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 33	Save this home",https://www.zillow.com/homedetails/8471-Village-Dr-Florence-KY-41042/105699811_zpid/,"$285,000"
2,"6642 Highridge Ave, Florence, KY 41042	PIVOT REALTY GROUP	$215,000	3	 	bds	3	 	ba	2,008	 	sqft	 	- House for sale	Price cut:	 	$15,000 (Nov 27)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 25	Save this home",https://www.zillow.com/homedetails/6642-Highridge-Ave-Florence-KY-41042/122652300_zpid/,"$215,000"
3,"7920 Driftwood Dr, Florence, KY 41042	BANG REALTY, INC	$599,900	4	 	bds	4	 	ba	2,796	 	sqft	 	- House for sale	18 days on Zillow	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 49	Save this home",https://www.zillow.com/homedetails/7920-Driftwood-Dr-Florence-KY-41042/105695963_zpid/,"$599,900"
4,"7131 Manderlay Dr, Florence, KY 41042	PLUM TREE REALTY	$245,000	3	 	bds	2	 	ba	--	 	sqft	 	- House for sale	11 days on Zillow	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 34	Save this home",https://www.zillow.com/homedetails/7131-Manderlay-Dr-Florence-KY-41042/105706857_zpid/,"$245,000"
5,"975 Golden Grove Ln, Florence, KY 41042	HAND IN HAND REALTY	$315,000	3	 	bds	4	 	ba	2,394	 	sqft	 	- House for sale	Price cut:	 	$10,000 (Nov 3)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 40	Save this home",https://www.zillow.com/homedetails/975-Golden-Grove-Ln-Florence-KY-41042/122650467_zpid/,"$315,000"
6,"1733 Greatwood Dr, Florence, KY 41042	HUFF REALTY - FLORENCE	$344,000	5	 	bds	3	 	ba	2,416	 	sqft	 	- House for sale	Price cut:	 	$6,000 (Nov 28)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 43	Save this home",https://www.zillow.com/homedetails/1733-Greatwood-Dr-Florence-KY-41042/122645156_zpid/,"$344,000"
7,"6347 Hampton Ridge Dr, Florence, KY 41042	EXP REALTY, LLC	$289,000	3	 	bds	2	 	ba	1,953	 	sqft	 	- House for sale	20 days on Zillow	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 25	Save this home",https://www.zillow.com/homedetails/6347-Hampton-Ridge-Dr-Florence-KY-41042/122654015_zpid/,"$289,000"
8,"1112 Donner Dr, Florence, KY 41042	KELLER WILLIAMS REALTY SERVICES	$334,900	3	 	bds	3	 	ba	1,684	 	sqft	 	- House for sale	Open: Sat. 11am-1pm	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 34	Save this home",https://www.zillow.com/homedetails/1112-Donner-Dr-Florence-KY-41042/105703460_zpid/,"$334,900"
9,"141 Stable Gate Ln UNIT 651, Florence, KY 41042	KELLER WILLIAMS REALTY SERVICES	$174,900	2	 	bds	2	 	ba	1,196	 	sqft	 	- Condo for sale	Price cut:	 	$5,000 (Nov 27)	Previous photo	Chevron Left	Next photo	Chevron Right	Use arrow keys to navigate	Image 1 of 21	Save this home",https://www.zillow.com/homedetails/141-Stable-Gate-Ln-UNIT-651-Florence-KY-41042/122651053_zpid/,"$174,900"
